city,hotel_name,url,score,description,hotel_lat,hotel_lon
Mont Saint Michel,Le Mouton Blanc,https://www.booking.com/hotel/fr/le-mouton-blanc-le-mont-saint-michel.html?aid=304142&label=gen173nr-10CAQoggJCGHNlYXJjaF9tb250IHNhaW50IG1pY2hlbEgzWARooAGIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4Asyt2MwGwAIB0gIkMThmOWQ1MTUtMDhiZS00Y2Q4LThmODMtZjY1OTEwM2VkZTVi2AIB4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=c6f48ae61020060f&srepoch=1771443919&from=searchresults,7.37,100 m from downtown,48.63602298444712,-1.509895920753479
Mont Saint Michel,Auberge Saint Pierre,https://www.booking.com/hotel/fr/auberge-saint-pierre.html?aid=304142&label=gen173nr-10CAQoggJCGHNlYXJjaF9tb250IHNhaW50IG1pY2hlbEgzWARooAGIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4Asyt2MwGwAIB0gIkMThmOWQ1MTUtMDhiZS00Y2Q4LThmODMtZjY1OTEwM2VkZTVi2AIB4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=c6f48ae61020060f&srepoch=1771443919&from=searchresults,8.18,100 m from downtown,48.63568797869143,-1.5098825097084043
Mont Saint Michel,Appart Standing - La Coque d'Or - Mont-St-Michel,https://www.booking.com/hotel/fr/la-coque-d-or.html?aid=304142&label=gen173nr-10CAQoggJCGHNlYXJjaF9tb250IHNhaW50IG1pY2hlbEgzWARooAGIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4Asyt2MwGwAIB0gIkMThmOWQ1MTUtMDhiZS00Y2Q4LThmODMtZjY1OTEwM2VkZTVi2AIB4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=c6f48ae61020060f&srepoch=1771443919&from=searchresults,9.79,100 m from downtown,48.6354874,-1.5101555
Mont Saint Michel,Chez Adèle,https://www.booking.com/hotel/fr/chez-adele-le-mont-saint-michel.html?aid=304142&label=gen173nr-10CAQoggJCGHNlYXJjaF9tb250IHNhaW50IG1pY2hlbEgzWARooAGIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4Asyt2MwGwAIB0gIkMThmOWQ1MTUtMDhiZS00Y2Q4LThmODMtZjY1OTEwM2VkZTVi2AIB4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=c6f48ae61020060f&srepoch=1771443919&from=searchresults,8.98,40 m from downtown,48.636165894011,-1.5104757792319998
Mont Saint Michel,Chambres d'hôtes La Rive - Le Mont Saint Michel,https://www.booking.com/hotel/fr/chambres-d-hotes-la-rive-le-mont-saint-michel.html?aid=304142&label=gen173nr-10CAQoggJCGHNlYXJjaF9tb250IHNhaW50IG1pY2hlbEgzWARooAGIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4Asyt2MwGwAIB0gIkMThmOWQ1MTUtMDhiZS00Y2Q4LThmODMtZjY1OTEwM2VkZTVi2AIB4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=c6f48ae61020060f&srepoch=1771443919&from=searchresults,9.59,3.4 km from Le Mont Saint Michel,48.61081775385533,-1.4842049181788752
Mont Saint Michel,Résidence Beauvoir le Mont-Saint-Michel,https://www.booking.com/hotel/fr/residence-beauvoir-le-mont-saint-michel.html?aid=304142&label=gen173nr-10CAQoggJCGHNlYXJjaF9tb250IHNhaW50IG1pY2hlbEgzWARooAGIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4Asyt2MwGwAIB0gIkMThmOWQ1MTUtMDhiZS00Y2Q4LThmODMtZjY1OTEwM2VkZTVi2AIB4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=popularity&srpvid=c6f48ae61020060f&srepoch=1771443919&from=searchresults,9.49,4.2 km from Le Mont Saint Michel,48.597878453626,-1.508418656869
Mont Saint Michel,Etoile des Grèves,https://www.booking.com/hotel/fr/etoile-des-greves.html?aid=304142&label=gen173nr-10CAQoggJCGHNlYXJjaF9tb250IHNhaW50IG1pY2hlbEgzWARooAGIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4Asyt2MwGwAIB0gIkMThmOWQ1MTUtMDhiZS00Y2Q4LThmODMtZjY1OTEwM2VkZTVi2AIB4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=17&sr_order=popularity&srpvid=c6f48ae61020060f&srepoch=1771443919&from=searchresults,9.49,2.7 km from Le Mont Saint Michel,48.615509,-1.491524
Mont Saint Michel,Apparthôtel Mont Saint Michel - Résidence Fleurdumont,https://www.booking.com/hotel/fr/residence-fleurdumont.html?aid=304142&label=gen173nr-10CAQoggJCGHNlYXJjaF9tb250IHNhaW50IG1pY2hlbEgzWARooAGIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4Asyt2MwGwAIB0gIkMThmOWQ1MTUtMDhiZS00Y2Q4LThmODMtZjY1OTEwM2VkZTVi2AIB4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=18&sr_order=popularity&srpvid=c6f48ae61020060f&srepoch=1771443919&from=searchresults,8.58,4.4 km from Le Mont Saint Michel,48.596482169806976,-1.5031469166023044
Mont Saint Michel,Les Pres-Salés,https://www.booking.com/hotel/fr/les-pra-s-sala-s.html?aid=304142&label=gen173nr-10CAQoggJCGHNlYXJjaF9tb250IHNhaW50IG1pY2hlbEgzWARooAGIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4Asyt2MwGwAIB0gIkMThmOWQ1MTUtMDhiZS00Y2Q4LThmODMtZjY1OTEwM2VkZTVi2AIB4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&srpvid=c6f48ae61020060f&srepoch=1771443919&from=searchresults,9.19,5 km from Le Mont Saint Michel,48.62422199651231,-1.4457803964614868
Mont Saint Michel,Hotel Rose,https://www.booking.com/hotel/fr/gue-de-beauvoir.html?aid=304142&label=gen173nr-10CAQoggJCGHNlYXJjaF9tb250IHNhaW50IG1pY2hlbEgzWARooAGIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4Asyt2MwGwAIB0gIkMThmOWQ1MTUtMDhiZS00Y2Q4LThmODMtZjY1OTEwM2VkZTVi2AIB4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=20&sr_order=popularity&srpvid=c6f48ae61020060f&srepoch=1771443919&from=searchresults,8.58,4.3 km from Le Mont Saint Michel,48.59706233179113,-1.513039469718933
